"Assessment Metrics S.NO"," CLQ","Rating","Method","No of Questions","","","","",""
"1","Product
Clarity
","1-9","Q/A Round","5 Questions","","Bad","","Dark Red ","refresher required"
"2","Product 
Conviction","1-9","Picture Based 
Test","10 Questions","","Avg","3-5","Yellow ","refresher required"
"3","Product 
Presentation","1-9","Pitch of 2 mins.","1","","Good","6-7","Light Green ","not required"
"4","Objection Handling","1-9","SRTs","10 SRTs","","Perfect","8-10","Dark Green ","not required"
"5","Offerings Clarity","1-9","Quiz Test","5 Questions","","","","",""
"6","Universe Clarity","1-9","SRT","Discussions","","","","",""
"7","School Research","1-9","Demo","1","","","","",""
"8","Business Strategy
","1-9","Q/A Round","5 Questions","","","","",""
"9","Communication Skills","1-9","Repo Buiding 
Round","Presentation","","","","",""
"10","Customer 
Empathy","1-9","Strategy based
Questions","1","","","","",""